type,fixed_acidity,volatile_acidity,citric_acid,density,pH,sulphates,alcohol,quality
white,6.4,0.17,0.27,0.9916,3.46,0.42,11,7
white,7.3,0.21,0.3,0.997,3.4,0.5,9.6,6
white,6.7,0.27,0.25,0.9961,3.22,0.43,9.3,5
white,6.9,0.29,0.23,0.9967,3.17,0.44,8.8,5
white,6.6,0.32,0.26,0.9961,3.17,0.45,8.8,5
white,7.4,0.32,0.22,0.9955,3.28,0.69,8.9,5
white,6.6,0.37,0.07,0.9922,3.17,0.38,10,5
white,7.7,0.43,0.28,0.9918,3.16,0.56,12.2,7
white,7.8,0.39,0.26,0.9955,3.04,0.42,10.9,6
white,6.5,0.18,0.26,0.9941,3.34,0.72,9.5,6
white,7.8,0.4,0.26,0.9955,3.04,0.43,10.9,6
white,7.8,0.39,0.26,0.9955,3.04,0.42,10.9,6
white,6.9,0.19,0.28,0.9924,3.16,0.4,10.8,6
white,7.7,0.49,1,0.9973,3.24,0.4,12,6
white,6.6,0.25,0.35,0.999,3.56,0.47,9.8,5
white,6.5,0.18,0.26,0.9941,3.34,0.72,9.5,6
white,6.4,0.15,0.36,0.9922,3.42,0.69,11,8
white,6.4,0.15,0.36,0.9922,3.42,0.69,11,8
white,8.4,0.17,0.31,0.9953,3.24,0.38,9.8,5
white,6.1,0.32,0.37,0.9945,3.49,0.44,10.5,4
white,8.5,0.21,0.26,0.9945,3.05,0.37,11.4,6
white,8.7,0.45,0.4,0.9957,3.27,0.57,10.1,6
white,6.7,0.24,0.29,0.9932,3.33,0.46,11.6,7
white,8.5,0.21,0.26,0.9945,3.05,0.37,11.4,6
white,7.4,0.33,0.26,0.9913,3.07,0.52,11.8,7
white,7.2,0.26,0.3,0.9909,3.33,0.43,12.1,7
white,8.2,0.36,0.29,0.9939,3.16,0.34,12,5
white,7.8,0.2,0.24,0.991,3.08,0.74,12.1,7
white,9.4,0.16,0.3,0.9954,3.15,0.46,9.1,5
white,6.4,0.33,0.24,0.9943,3.36,0.5,9.3,5
white,7.8,0.22,0.36,0.993,3.2,0.53,10.4,6
white,7.4,0.35,0.31,1.0002,3.27,0.64,9.1,5
white,6.6,0.37,0.24,0.9946,3.32,0.54,9.4,5
white,6.7,0.37,0.41,0.9953,3.16,0.47,9.6,6
white,7.1,0.37,0.32,0.9918,3.19,0.62,12,5
white,6.9,0.25,0.27,0.9936,3.27,0.34,11.3,8
white,6.8,0.23,0.29,0.9984,3.06,0.41,8.7,6
white,6.4,0.26,0.21,0.9956,3.39,0.58,9.9,6
white,7.6,0.3,0.22,0.9966,3.08,0.4,9.3,6
white,9.4,0.16,0.23,0.9942,3.07,0.32,9.5,5
white,6.8,0.23,0.29,0.9984,3.06,0.41,8.7,6
white,6.4,0.26,0.21,0.9956,3.39,0.58,9.9,6
white,7.6,0.3,0.22,0.9966,3.08,0.4,9.3,6
white,7.5,0.33,0.39,0.9974,3.16,0.39,9.4,5
white,7.6,0.38,0.2,0.9944,3.15,0.41,9.4,5
white,8.8,0.2,0.43,1.0008,3.28,0.79,8.8,6
white,7.5,0.33,0.39,0.9974,3.16,0.39,9.4,5
white,8.8,0.2,0.43,1.0008,3.28,0.79,8.8,6
white,6.6,0.36,0.21,0.9928,3.18,0.41,9.9,6
white,7.6,0.38,0.2,0.9944,3.15,0.41,9.4,5
white,5.6,0.46,0.24,0.9908,3.29,0.37,12.6,6
white,7.2,0.15,0.38,0.9917,3.19,0.43,11.1,6
white,8.2,0.42,0.29,0.9911,3,0.32,12.8,7
white,6.8,0.3,0.35,0.9912,3.09,0.53,12,6
white,6.7,0.27,0.3,0.9953,3.36,0.5,12,7
white,7.2,0.5,0,0.9932,3.19,0.34,9.2,4
white,6,0.26,0.29,0.9896,3.38,0.44,12.3,6
white,6.8,0.33,0.28,0.9889,3.19,0.41,13,6
white,6.8,0.3,0.35,0.9912,3.09,0.53,12,6
white,7.4,0.29,0.31,0.9926,3.07,0.38,10.9,5
white,8.2,0.42,0.29,0.9911,3,0.32,12.8,7
white,7.3,0.19,0.24,0.9964,3.36,0.54,10,6
white,6.5,0.32,0.12,0.9974,3.22,0.32,9,5
white,7.1,0.32,0.4,0.9944,3.42,0.6,10.4,5
white,6.5,0.32,0.12,0.9974,3.22,0.32,9,5
white,7.3,0.19,0.24,0.9964,3.36,0.54,10,6
white,7.3,0.17,0.23,0.9963,3.36,0.54,10,6
white,7.7,0.44,0.24,0.9948,3.12,0.43,11.3,7
white,7.7,0.44,0.24,0.9948,3.12,0.43,11.3,7
white,7.4,0.49,0.24,0.9953,3.13,0.51,12,7
white,7.7,0.44,0.24,0.9948,3.12,0.43,11.3,7
white,7.4,0.49,0.24,0.9953,3.13,0.51,12,7
white,6.4,0.21,0.3,0.9949,3.6,0.41,10.6,6
white,8,0.55,0.42,0.9988,2.99,0.56,9.3,5
white,7,0.19,0.23,0.9954,3.04,0.54,9.4,6
white,7.2,0.24,0.29,0.992,3.27,0.64,11,7
white,6.5,0.34,0.36,0.9984,3.44,0.55,9.3,6
white,7,0.19,0.23,0.9954,3.04,0.54,9.4,6
white,6.9,0.18,0.33,0.9926,3.42,0.51,10.5,5
white,7.2,0.24,0.29,0.992,3.27,0.64,11,7
white,8.2,0.18,0.31,0.9976,3.07,0.52,9.5,6
white,8.3,0.28,0.45,0.9972,3.33,0.77,11.2,6
white,6.1,0.34,0.46,0.991,3.29,0.62,12.3,6
white,7.4,0.44,0.2,0.998,3.27,0.44,9,5
white,7.6,0.26,0.58,0.9966,3.07,0.38,9,5
white,7.4,0.44,0.2,0.998,3.27,0.44,9,5
white,8.7,0.49,0.57,1.0007,2.98,0.82,9,5
white,7,0.24,0.25,0.992,3.25,0.42,11.4,6
white,7.1,0.25,0.25,0.9925,3.2,0.42,11,7
white,6.1,0.34,0.46,0.991,3.29,0.62,12.3,6
white,6.4,0.18,0.31,0.9934,3.6,0.67,10.4,7
white,8.3,0.27,0.39,0.9955,3.28,0.59,10.3,5
white,6.8,0.24,0.35,0.9944,3.29,0.55,10.5,7
white,8,0.22,0.28,0.9981,3.14,0.45,9.8,6
white,10,0.91,0.42,0.9968,3.11,0.46,10,4
white,8.9,0.34,0.34,0.9946,3.14,0.47,9.7,5
white,8.9,0.33,0.34,0.9946,3.13,0.47,9.7,5
white,8,0.22,0.28,0.9981,3.14,0.45,9.8,6
white,6.7,0.18,0.19,0.9946,3.32,0.66,10.5,6
white,7.8,0.2,0.28,0.997,3.14,0.46,10,6
white,7.3,0.13,0.31,0.9924,3.24,0.92,11.5,7
white,6.6,0.28,0.3,0.9958,3.24,0.39,9.5,5
white,7.1,0.25,0.3,0.994,3.43,0.61,10.5,6
white,7.6,0.36,0.44,0.9958,3.12,0.43,10.2,6
white,7.6,0.27,0.25,0.9984,3.34,0.5,9.8,6
white,6.9,0.37,0.28,0.9948,3.1,0.37,11.6,6
white,7.4,0.21,0.27,0.9932,3.15,0.38,11.8,7
white,8.2,0.18,0.28,0.9952,3.04,0.37,10.1,7
white,6.3,0.19,0.21,0.9924,3.31,0.5,10.3,6
white,7,0.21,0.22,0.9945,3.34,0.49,10.4,6
white,5.8,0.33,0.2,0.9976,3.09,0.46,8.9,5
white,5.8,0.33,0.2,0.9976,3.09,0.46,8.9,5
white,7.9,0.29,0.31,0.9938,3.06,0.31,10.8,5
white,6.6,0.31,0.38,0.9997,3.38,0.6,9.2,5
white,8,0.19,0.3,0.994,3.18,0.49,9.6,6
white,8,0.2,0.36,0.9921,3.08,0.37,10.4,6
white,8,0.25,0.26,0.9986,3.03,0.57,8.7,6
white,7.2,0.2,0.61,0.9987,3.06,0.36,9.2,6
white,7.7,0.3,0.42,0.9991,3.18,0.63,9.2,5
white,7.2,0.2,0.61,0.9987,3.06,0.36,9.2,6
white,7.7,0.3,0.42,0.9991,3.18,0.63,9.2,5
white,7.7,0.3,0.42,0.9991,3.18,0.63,9.2,5
white,6.4,0.22,0.32,0.9948,3.4,0.39,10.2,5
white,7.2,0.2,0.61,0.9987,3.06,0.36,9.2,6
white,7,0.53,0.02,0.993,3.2,0.32,9,5
white,7.3,0.24,0.41,0.9988,3.37,0.43,9.7,5
white,7.2,0.24,0.4,1,3.34,0.42,9.6,5
white,7.6,0.15,0.4,0.9932,3.14,0.76,10,5
white,7.7,0.3,0.42,0.9991,3.18,0.63,9.2,5
white,7.6,0.33,0.41,0.9989,3.18,0.64,9.1,5
white,6.8,0.24,0.31,1,3.3,0.41,8.7,5
white,6.8,0.24,0.31,1,3.3,0.41,8.7,5
white,6.8,0.35,0.44,0.9952,3.14,0.44,9.5,5
white,7.9,0.26,0.33,0.9969,2.93,0.49,9.5,6
white,7.5,0.29,0.67,0.9966,2.9,0.41,8.9,6
white,7.5,0.29,0.67,0.9966,2.9,0.41,8.9,6
white,7.2,0.31,0.41,0.9976,3.29,0.64,9.9,6
white,6.7,0.44,0.31,0.99,3.29,0.62,12.6,7
white,10,0.23,0.27,0.9988,2.72,0.43,9.7,6
white,7.4,0.21,0.3,0.9942,2.96,0.34,10.4,5
white,8.8,0.23,0.35,0.9984,2.93,0.49,9.1,6
white,7.8,0.34,0.27,0.9932,3.01,0.55,10.4,5
white,7.9,0.26,0.33,0.9969,2.93,0.49,9.5,6
white,7.5,0.29,0.67,0.9966,2.9,0.41,8.9,6
white,6,0.28,0.35,0.9933,3.16,0.69,10.6,5
white,7.9,0.37,0.3,0.9916,3.12,0.59,12,7
white,7.2,0.36,0.36,0.9914,2.93,0.59,12.5,7
white,7.6,0.13,0.34,0.9966,3.21,0.39,9.6,5
white,6.6,0.25,0.36,0.9958,3.08,0.42,9.2,5
white,7.1,0.18,0.26,0.9926,3.04,0.74,9.9,6
white,7.9,0.3,0.27,0.9939,2.96,0.46,11.7,6
white,8.3,0.23,0.3,0.9953,3.09,0.5,9.6,6
white,6.8,0.43,0.3,0.9906,3,0.37,12,6
white,7.2,0.36,0.36,0.9914,2.93,0.59,12.5,7
white,6.6,0.25,0.36,0.9958,3.08,0.42,9.2,5
white,7.1,0.18,0.26,0.9926,3.04,0.74,9.9,6
white,6.6,0.35,0.29,0.9991,3.17,0.58,8.9,6
white,7.3,0.22,0.5,0.9994,3.24,0.66,9,6
white,8.1,0.26,0.33,0.9976,3.03,0.49,10.2,7
white,7.6,0.13,0.34,0.9966,3.21,0.39,9.6,5
white,7,0.12,0.19,0.9953,3.29,0.41,9.4,5
white,8.2,0.37,0.27,0.9923,2.97,0.48,10.4,5
white,7.6,0.26,0.36,0.993,3.15,0.4,10.4,4
white,6.3,0.2,0.58,0.9931,3.16,0.43,10,6
white,6.3,0.22,0.57,0.9932,3.16,0.43,10,6
white,7.1,0.25,0.28,0.9926,3.05,0.41,10.5,5
white,7,0.27,0.32,0.9938,3.23,0.39,11.4,6
white,8.8,0.34,0.33,0.9966,3.08,0.4,10.2,5
white,9.2,0.27,0.34,0.9974,3.04,0.41,10.4,6
white,7.1,0.49,0.22,0.9924,3.24,0.37,11,3
white,9.2,0.71,0.23,0.9948,2.89,0.34,10.1,6
white,7.2,0.47,0.65,0.9964,3,0.35,9.2,5
white,6.8,0.28,0.36,0.9924,3.23,0.66,10.3,6
white,8.8,0.34,0.33,0.9966,3.08,0.4,10.2,5
white,9.2,0.27,0.34,0.9974,3.04,0.41,10.4,6
white,7.3,0.13,0.27,0.9938,3.23,0.39,11.1,7
white,7.2,0.16,0.35,0.9928,3.33,0.34,9.9,5
white,6.8,0.31,0.32,0.9959,3.14,0.38,9,5
white,8.3,0.36,0.57,1.0001,2.93,0.64,8.6,5
white,6.8,0.31,0.32,0.9959,3.14,0.38,9,5
white,8.3,0.36,0.57,1.0001,2.93,0.64,8.6,5
white,6.3,0.25,0.44,0.9968,3.18,0.52,9.5,5
white,6,0.45,0.42,0.9932,3.02,0.4,9,5
white,8.1,0.26,0.3,0.9954,2.99,0.58,10,6
white,6.4,0.22,0.32,0.9992,3.6,0.43,9,6
white,5.7,0.45,0.42,0.9932,3.02,0.4,9,5
white,7.2,0.19,0.31,0.9939,3.34,0.57,10.2,7
white,6.7,0.31,0.44,0.9952,3.04,0.44,9.6,5
white,8,0.25,0.13,0.9996,2.96,0.46,9.7,5
white,9.9,1.005,0.46,0.9966,3.02,0.49,10.2,4
white,8.1,0.31,0.36,0.9925,3.01,0.34,13,7
white,8.1,0.24,0.38,0.996,3.37,0.74,10.8,6
white,8,0.25,0.13,0.9996,2.96,0.46,9.7,5
white,6.4,0.29,0.28,0.9973,2.89,0.57,9,5
white,7.2,0.15,0.33,0.9937,3.37,0.4,9.9,5
white,7,0.12,0.32,0.9966,3.29,0.38,9.2,6
white,7.4,0.32,0.55,1.0017,2.96,0.58,8.7,6
white,8.5,0.17,0.31,0.993,2.79,0.37,10.1,5
white,8.5,0.17,0.31,0.993,2.79,0.37,10.1,5
white,9.5,0.21,0.47,0.9959,2.9,0.64,9.5,5
white,8.2,0.21,0.48,0.9958,3.17,0.57,9.9,5
white,7.4,0.32,0.55,1.0017,2.96,0.58,8.7,6
white,6.8,0.31,0.42,0.9958,3.19,0.46,9,5
white,6.8,0.27,0.28,0.9979,3.03,0.38,8.6,6
white,7.4,0.21,0.3,0.9941,3.12,0.35,10.5,6
white,8,0.23,0.35,0.997,3.09,0.56,9.5,7
white,7.6,0.2,0.31,0.9934,3.43,0.53,10.1,6
white,6.3,0.41,0.3,0.9927,3.53,0.79,11.7,7
white,8.3,0.49,0.43,0.9944,3.23,0.47,10.7,6
white,6.3,0.41,0.3,0.9927,3.53,0.79,11.7,7
white,7.6,0.2,0.26,0.9963,3.15,0.42,9.2,5
white,7.5,0.26,0.26,1.0011,3.17,0.39,8.8,5
white,7.5,0.26,0.26,1.0011,3.17,0.39,8.8,5
white,6.8,0.27,0.35,0.9959,3.24,0.43,9.5,6
white,6.8,0.28,0.37,0.9973,3.57,0.55,10.2,5
white,8.4,0.2,0.27,0.9966,3.25,0.5,9.1,6
white,7.9,0.33,0.26,0.9932,3.19,0.54,10.5,6
white,7.5,0.38,0.5,0.9984,3.09,0.46,9,6
white,7.6,0.2,0.3,0.999,3.14,0.46,8.9,8
white,7.6,0.2,0.3,0.999,3.14,0.46,8.9,8
white,7.6,0.2,0.3,0.999,3.14,0.46,8.9,8
white,7.6,0.2,0.3,0.999,3.14,0.46,8.9,8
white,7.6,0.2,0.3,0.999,3.14,0.46,8.9,8
white,8.1,0.19,0.58,1.0006,3.2,0.62,9.1,6
white,7.6,0.16,0.41,0.9937,3.2,0.53,10.1,6
white,8.1,0.22,0.28,0.9954,3.12,0.55,10,5
white,8,0.22,0.32,0.997,3.11,0.53,9.5,6
white,7.1,0.33,0.3,0.9912,3.08,0.31,12.3,7
white,6.4,0.43,0.27,0.9939,3.24,0.52,9.1,4
white,7.6,0.2,0.3,0.999,3.14,0.46,8.9,8
white,7,0.12,0.28,0.9957,3.5,0.44,9.6,5
white,7.4,0.3,0.22,0.9926,3.13,0.45,11.6,6
white,7,0.28,0.33,0.9994,3.34,0.67,8.8,6
white,8.4,0.2,0.38,1.0004,3.34,0.82,8.9,6
white,7,0.28,0.33,0.9994,3.34,0.67,8.8,6
white,8.4,0.2,0.38,1.0004,3.34,0.82,8.9,6
white,8.4,0.2,0.38,1.0004,3.34,0.82,8.9,6
white,7.3,0.18,0.31,1.0002,3.13,0.46,9,6
white,6.8,0.31,0.09,0.9922,3.19,0.46,10,5
white,6.7,0.31,0.08,0.9922,3.18,0.46,10,5
white,7.6,0.17,0.35,0.9934,3.36,0.69,11.1,6
white,7.4,0.3,0.22,0.9926,3.13,0.45,11.6,6
white,7.4,0.26,0.31,0.9941,3.42,0.68,10.6,6
white,7,0.28,0.33,0.9994,3.34,0.67,8.8,6
white,8.4,0.2,0.38,1.0004,3.34,0.82,8.9,6
white,5.6,0.18,0.31,0.9924,3.34,0.58,10.1,6
white,7.2,0.15,0.39,0.9948,3.52,0.47,10,5
white,8,0.4,0.33,0.9935,3.18,0.41,12.2,7
white,7,0.25,0.56,0.9918,3.23,0.53,11,6
white,7.2,0.15,0.39,0.9948,3.52,0.47,10,5
white,6.8,0.18,0.46,0.9924,3.37,0.45,11.1,5
white,6.6,0.32,0.22,0.9979,3.22,0.67,10.4,6
white,9,0.55,0.3,0.993,2.94,0.36,11.8,5
white,6.9,0.19,0.39,0.994,3.11,0.66,10.8,6
white,6.3,0.41,0.33,0.991,3.3,0.38,12.5,7
white,9,0.55,0.3,0.993,2.94,0.36,11.8,5
white,7,0.2,0.34,0.9922,3.25,0.46,11.6,7
white,6.6,0.32,0.22,0.9979,3.22,0.67,10.4,6
white,7.7,0.26,0.34,0.9937,3.19,0.7,11.5,6
white,6.3,0.21,0.28,0.9928,3.23,0.42,10.1,6
white,7.6,0.34,0.39,0.9965,3.11,0.53,9.2,6
white,6.3,0.21,0.28,0.9928,3.23,0.42,10.1,6
white,8,0.43,0.4,0.9991,3.07,0.64,9.2,5
white,7.5,0.3,0.71,0.9948,3.08,0.42,8.9,5
white,6.4,0.26,0.4,0.9925,3.09,0.54,10.1,5
white,6.9,0.32,0.15,0.9958,3.13,0.45,8.9,5
white,8.9,0.21,0.34,0.9962,3.1,0.45,9.7,6
white,7.6,0.34,0.39,0.9965,3.11,0.53,9.2,6
white,9.5,0.42,0.41,0.9951,3.06,0.52,11,6
white,7.6,0.29,0.26,0.9944,3.14,0.47,10.7,5
white,6.5,0.25,0.2,0.9916,3.24,0.54,10.8,6
white,7.2,0.23,0.33,0.9987,3.41,0.4,9.8,5
white,7.9,0.35,0.36,0.9928,3.25,0.48,11,5
white,8.8,0.2,0.28,0.9926,2.97,0.35,10.4,5
white,5.7,0.27,0.32,0.9934,3.8,0.41,10.2,6
white,7.6,0.29,0.26,0.9944,3.14,0.47,10.7,5
white,5.5,0.14,0.27,0.9949,3.34,0.44,9,5
white,8.7,0.24,0.35,0.9926,3.08,0.38,10.6,5
white,6.7,0.3,0.45,0.997,3.22,0.59,9.5,6
white,5.5,0.14,0.27,0.9949,3.34,0.44,9,5
white,5.6,0.13,0.27,0.9948,3.34,0.45,9.2,6
white,7.4,0.18,0.34,0.992,2.97,0.53,11,6
white,5.7,0.385,0.04,0.9964,3.28,0.63,9.9,6
white,8.7,0.24,0.35,0.9926,3.08,0.38,10.6,5
white,8.3,0.33,0.43,0.9982,3.38,0.47,9.3,5
white,6.8,0.34,0.44,0.9955,3.14,0.41,9.6,5
white,6.8,0.33,0.44,0.9955,3.14,0.42,9.5,5
white,6.3,0.28,0.24,0.9958,3.39,0.57,9.7,7
white,11.8,0.23,0.38,0.9997,2.93,0.55,9.7,3
white,6.8,0.21,0.27,1.0001,3.3,0.36,8.7,5
white,6.8,0.21,0.27,1.0001,3.3,0.36,8.7,5
white,8.6,0.485,0.29,0.9918,3.01,0.38,12.4,5
white,8.6,0.485,0.29,0.9918,3.01,0.38,12.4,5
white,7.3,0.29,0.29,0.9931,3.07,0.26,10.6,6
white,6.8,0.21,0.27,1.0001,3.3,0.36,8.7,5
white,6.7,0.31,0.31,0.9926,3.36,0.82,12,7
white,7.3,0.29,0.37,0.9966,3.12,0.47,9,5
white,5.7,0.46,0.46,0.9932,3.13,0.47,8.8,5
white,6.8,0.28,0.44,0.9969,3.22,0.56,9.5,5
white,6.7,0.23,0.33,0.9925,3.32,0.4,10.8,6
white,6.9,0.17,0.25,0.9914,3.16,0.48,11.4,5
white,7.6,0.18,0.36,0.996,3.6,0.46,10.3,5
white,6.6,0.22,0.28,0.9952,3.3,0.75,9.5,6
white,7.8,0.27,0.28,0.9934,3.15,0.44,9.9,5
white,7.7,0.28,0.29,0.9939,3.16,0.39,10.2,5
white,7.6,0.29,0.29,0.9939,3.16,0.39,10.2,5
white,5.7,0.32,0.18,0.9906,3.44,0.37,11,6
white,7.1,0.33,0.25,0.9901,3.22,0.34,12.1,7
white,7.3,0.34,0.3,0.9948,3.26,0.51,9.1,6
white,6.5,0.19,0.26,0.995,3.26,0.68,9.5,6
white,6.6,0.23,0.27,0.9953,3.27,0.76,9.5,5
white,6.6,0.27,0.29,0.9953,3.31,0.79,9.8,5
white,6.6,0.22,0.28,0.9952,3.3,0.75,9.5,6
white,7.6,0.18,0.36,0.996,3.6,0.46,10.3,5
white,6.8,0.36,0.32,0.9948,3.3,0.67,9.6,5
white,7,0.22,0.39,0.9951,3.52,0.54,10.2,6
white,5.9,0.17,0.3,0.9931,3.68,0.72,10.5,6
white,7.4,0.45,0.32,0.9962,3.32,0.41,10.4,4
white,6.8,0.36,0.32,0.9948,3.3,0.67,9.6,5
white,7.5,0.42,0.14,0.9959,3.22,0.33,10.7,5
white,7.5,0.33,0.32,0.9962,3.15,0.34,10.5,6
white,9.4,0.3,0.32,0.9958,2.85,0.42,10.6,5
white,7.9,0.17,0.32,0.9948,3.29,0.76,9.6,6
white,7.9,0.17,0.32,0.9948,3.29,0.76,9.6,6
white,8.2,0.17,0.32,0.994,3.14,0.58,9.5,5
white,8.3,0.17,0.31,0.9942,3.12,0.58,9.4,6
white,8.7,0.15,0.3,0.9942,3.22,0.38,9.8,6
white,7.9,0.17,0.32,0.9948,3.29,0.76,9.6,6
white,7.2,0.25,0.19,0.9964,3.16,0.44,9.2,5
white,7.2,0.24,0.19,0.9958,3.17,0.38,9.5,5
white,5.3,0.76,0.03,0.9932,3.34,0.38,9.2,5
white,6.6,0.22,0.53,0.9986,2.94,0.35,9.4,5
white,6.6,0.22,0.53,0.9986,2.94,0.35,9.4,5
white,8.4,0.28,0.4,0.9988,3.4,0.46,9.3,5
white,6.8,0.32,0.34,0.9953,3.19,0.4,9.1,5
white,6.7,0.24,0.33,0.9983,3.36,0.4,9.5,5
white,7.4,0.18,0.36,1,3.42,0.35,9.1,6
white,6,0.16,0.3,0.9951,3.63,0.46,10.6,5
white,6.7,0.24,0.33,0.9983,3.36,0.4,9.5,5
white,6.8,0.28,0.35,0.9906,3.19,0.56,12.4,6
white,6.2,0.34,0.3,0.9981,3.18,0.49,8.7,5
white,6,0.27,0.15,0.9936,3.12,0.45,8.8,5
white,6,0.16,0.3,0.9951,3.63,0.46,10.6,5
white,6.8,0.32,0.34,0.9953,3.19,0.4,9.1,5
white,8.5,0.24,0.47,1.0005,3.02,0.66,9,5
white,8.1,0.24,0.33,0.9972,3.16,0.48,10.3,6
white,7.4,0.18,0.36,1,3.42,0.35,9.1,6
white,7.7,0.23,0.31,0.9969,3.12,0.55,9.5,6
white,6.5,0.22,0.25,1.0001,3.3,0.37,8.8,5
white,6.5,0.22,0.25,1.0001,3.3,0.37,8.8,5
white,6.5,0.22,0.25,1.0001,3.3,0.37,8.8,5
white,5.7,0.33,0.15,0.9934,3.38,0.62,9.9,5
white,7.7,0.23,0.31,0.9969,3.12,0.55,9.5,6
white,6.5,0.22,0.25,1.0001,3.3,0.37,8.8,5
white,6.8,0.2,0.27,0.9902,3.14,0.37,11.7,4
white,7.7,0.26,0.32,0.993,3.21,0.56,10.8,5
white,6.4,0.2,0.32,0.9914,3.43,0.42,12,6
white,8,0.16,0.36,0.9941,3.2,0.39,10.3,4
white,6.8,0.25,0.27,0.9967,3.05,0.38,9,5
white,7.7,0.39,0.28,0.9918,3.19,0.58,12.2,7
white,6.9,0.26,0.33,0.998,3.39,0.38,9.9,5
white,6.8,0.25,0.27,0.9967,3.05,0.38,9,5
white,7.7,0.39,0.28,0.9918,3.19,0.58,12.2,7
white,6,0.28,0.22,0.9957,3.2,0.46,10.1,5
white,6.5,0.43,0.28,0.9986,3.31,0.55,9.3,5
white,9.1,0.33,0.38,0.9958,3.1,0.7,9.5,5
white,5.9,0.5,0.05,0.9948,3.43,0.5,9.2,6
white,6.8,0.28,0.39,0.9918,3.27,0.72,11.7,5
white,7,0.35,0.24,0.9923,3.35,0.38,11,5
white,7.1,0.22,0.32,0.9998,3.37,0.38,9.6,6
white,7.1,0.22,0.32,0.9998,3.37,0.38,9.6,6
white,8.3,0.24,0.27,0.9914,2.99,0.68,11.9,6
white,6.8,0.26,0.32,0.9939,3.25,0.52,10.8,6
white,7.2,0.16,0.26,0.9966,3.38,0.55,10.1,5
white,7.9,0.18,0.36,0.995,3.25,0.52,10.9,6
white,7.2,0.16,0.26,0.9966,3.38,0.55,10.1,5
white,5.5,0.24,0.32,0.994,3.27,0.31,10.4,5
white,7.1,0.33,0.64,0.9972,3.05,0.39,9.2,5
white,7.7,0.28,0.35,0.9998,3.27,0.5,9.6,5
white,7.7,0.28,0.35,0.9998,3.27,0.5,9.6,5
white,7.5,0.26,0.52,0.9982,3.1,0.46,9,5
white,6.5,0.14,0.32,0.9924,3.4,0.74,11.5,7
white,8.2,0.21,0.32,0.9972,3.17,0.48,10.2,6
white,7.2,0.2,0.31,0.997,3.4,0.42,9.9,6
white,7.2,0.115,0.3,0.9954,3.44,0.4,9.6,6
white,6.4,0.29,0.2,0.9962,3.1,0.54,10.6,5
white,7.1,0.33,0.64,0.9972,3.05,0.39,9.2,5
white,6.8,0.24,0.34,0.9921,3.24,0.46,11.8,6
white,7,0.24,0.34,0.9905,3.18,0.43,12.2,6
white,7.7,0.28,0.35,0.9998,3.27,0.5,9.6,5
white,7,0.22,0.33,0.993,3.2,0.41,10.6,6
white,7.5,0.18,0.39,0.9941,3.27,0.45,10.3,6
white,9.8,0.93,0.45,0.9994,3.12,0.59,10.2,4
white,7.8,0.29,0.33,0.9962,3.11,0.46,10.7,5
white,7.9,0.28,0.32,0.992,3.05,0.31,11.7,4
white,8.5,0.25,0.27,0.9922,3.01,0.33,12,6
white,7.4,0.18,0.27,0.994,3.52,0.66,10.6,6
white,6.3,0.24,0.37,0.9897,3.3,0.34,12.2,4
white,6,0.33,0.38,0.9954,3.47,0.48,11,6
white,6.8,0.37,0.28,0.99,3.23,0.46,12.4,7
white,9.9,0.49,0.23,0.9948,2.77,0.44,9.4,6
white,8.5,0.25,0.27,0.9922,3.01,0.33,12,6
white,8.4,0.22,0.28,0.998,2.96,0.35,11.6,5
white,7,0.35,0.31,0.9944,3.18,0.47,9.4,5
white,7,0.35,0.31,0.9944,3.18,0.47,9.4,5
white,7.4,0.19,0.3,0.9986,3.14,0.49,9.1,7
white,7.4,0.19,0.3,0.9986,3.14,0.49,9.1,7
white,7.4,0.19,0.3,0.9986,3.14,0.49,9.1,7
white,7.4,0.19,0.3,0.9986,3.14,0.49,9.1,7
white,7.4,0.19,0.3,0.9986,3.14,0.49,9.1,7
white,6.9,0.32,0.13,0.996,3.23,0.37,9.2,5
white,7.6,0.32,0.58,0.9999,3.15,0.54,9.2,5
white,7.4,0.19,0.3,0.9986,3.14,0.49,9.1,7
white,7.4,0.19,0.3,0.9986,3.14,0.49,9.1,7
white,6.9,0.32,0.13,0.996,3.23,0.37,9.2,5
white,6,0.34,0.24,0.9951,3.25,0.44,9,7
white,7.6,0.32,0.58,0.9999,3.15,0.54,9.2,5
white,7.7,0.24,0.31,0.993,3.22,0.55,10.8,6
white,8,0.36,0.43,0.9982,3.4,0.46,9.5,6
white,7.4,0.29,0.25,0.992,3.11,0.4,11,6
white,6.6,0.32,0.27,0.9963,3.24,0.47,10,5
white,6.3,0.3,0.24,0.995,3.22,0.47,9.5,5
white,6.4,0.33,0.24,0.9956,3.29,0.47,10.1,6
white,7.5,0.18,0.31,0.997,3.19,0.44,9.5,7
white,6.5,0.39,0.81,0.9936,3.08,0.53,9.5,5
white,6.8,0.25,0.18,0.9935,3.11,0.42,9.5,5
white,6.4,0.18,0.32,0.9963,3.35,0.49,9.4,6
white,7.1,0.18,0.32,0.9967,2.92,0.54,9.4,6
white,7.6,0.27,0.42,0.9912,3.31,0.51,12.7,6
white,9.2,0.23,0.35,0.9981,3.09,0.32,9.7,5
white,7.9,0.28,0.41,0.9966,3.27,0.51,9.7,6
white,7.1,0.18,0.32,0.9967,2.92,0.54,9.4,6
